"","superkingdom","clade","kingdom","phylum","class","order","family","subfamily","genus","species","taxID","length","unique_id"
"no_species_TAXID_No_TO_sample_contig_71204","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_71204",NA,"no_species_TAXID_No_TO_sample_contig_71204"
"no_species_TAXID_No_TO_sample_contig_71508","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_71508",NA,"no_species_TAXID_No_TO_sample_contig_71508"
"Biseptimavirus BU01_TAXID_No_1519999","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Biseptimavirus BU01","1519999",NA,"Biseptimavirus BU01_TAXID_No_1519999"
"no_species_TAXID_No_TO_sample_contig_75418","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_75418",NA,"no_species_TAXID_No_TO_sample_contig_75418"
"no_species_TAXID_No_TO_sample_contig_78304","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_78304",NA,"no_species_TAXID_No_TO_sample_contig_78304"
"Staphylococcus phage vB_SauS_Mh4_TAXID_No_2914855","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","Azeredovirinae","Dubowvirus","Staphylococcus phage vB_SauS_Mh4","2914855",NA,"Staphylococcus phage vB_SauS_Mh4_TAXID_No_2914855"
"Mammaliicoccus phage vB_MscM-PMS3_TAXID_No_2861056","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","Herelleviridae","Twortvirinae","unknown_genus_of_Twortvirinae","Mammaliicoccus phage vB_MscM-PMS3","2861056",NA,"Mammaliicoccus phage vB_MscM-PMS3_TAXID_No_2861056"
"no_species_TAXID_No_TO_sample_contig_85624","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_85624",NA,"no_species_TAXID_No_TO_sample_contig_85624"
"no_species_TAXID_No_TO_sample_contig_87308","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_87308",NA,"no_species_TAXID_No_TO_sample_contig_87308"
"no_species_TAXID_No_TO_sample_contig_87342","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_87342",NA,"no_species_TAXID_No_TO_sample_contig_87342"
"no_species_TAXID_No_TO_sample_contig_87812","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_87812",NA,"no_species_TAXID_No_TO_sample_contig_87812"
"no_species_TAXID_No_TO_sample_contig_88084","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_88084",NA,"no_species_TAXID_No_TO_sample_contig_88084"
"no_species_TAXID_No_TO_sample_contig_88185","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_88185",NA,"no_species_TAXID_No_TO_sample_contig_88185"
"Snyder-Theilen feline sarcoma virus_TAXID_No_11780","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Snyder-Theilen feline sarcoma virus","11780",NA,"Snyder-Theilen feline sarcoma virus_TAXID_No_11780"
"Y73 sarcoma virus_TAXID_No_11884","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Alpharetrovirus","Y73 sarcoma virus","11884",NA,"Y73 sarcoma virus_TAXID_No_11884"
"no_species_TAXID_No_TO_sample_contig_96244","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_96244",NA,"no_species_TAXID_No_TO_sample_contig_96244"
"Gemykibivirus hydro3_TAXID_No_2582939","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily_of_Genomoviridae","Gemykibivirus","Gemykibivirus hydro3","2582939",NA,"Gemykibivirus hydro3_TAXID_No_2582939"
"Percavirus felidgamma1_TAXID_No_1452540","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Gammaherpesvirinae","Percavirus","Percavirus felidgamma1","1452540",NA,"Percavirus felidgamma1_TAXID_No_1452540"
"Orthotospovirus alstroemerinecrosis_TAXID_No_693450","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","unknown_subfamily_of_Tospoviridae","Orthotospovirus","Orthotospovirus alstroemerinecrosis","693450",NA,"Orthotospovirus alstroemerinecrosis_TAXID_No_693450"
"no_species_TAXID_No_TO_sample_contig_103652","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_103652",NA,"no_species_TAXID_No_TO_sample_contig_103652"
"no_species_TAXID_No_TO_sample_contig_107257","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_107257",NA,"no_species_TAXID_No_TO_sample_contig_107257"
"no_species_TAXID_No_TO_sample_contig_107410","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_107410",NA,"no_species_TAXID_No_TO_sample_contig_107410"
"Harvey murine sarcoma virus_TAXID_No_11807","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Harvey murine sarcoma virus","11807",NA,"Harvey murine sarcoma virus_TAXID_No_11807"
"Skunavirus sv62605_TAXID_No_2029669","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Skunavirus sv62605","2029669",NA,"Skunavirus sv62605_TAXID_No_2029669"
"no_species_TAXID_No_TO_sample_contig_116131","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_116131",NA,"no_species_TAXID_No_TO_sample_contig_116131"
"no_species_TAXID_No_TO_sample_contig_116196","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_116196",NA,"no_species_TAXID_No_TO_sample_contig_116196"
"no_species_TAXID_No_TO_sample_contig_123479","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_123479",NA,"no_species_TAXID_No_TO_sample_contig_123479"
"no_species_TAXID_No_TO_sample_contig_124909","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_124909",NA,"no_species_TAXID_No_TO_sample_contig_124909"
"no_species_TAXID_No_TO_sample_contig_125443","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_125443",NA,"no_species_TAXID_No_TO_sample_contig_125443"
"no_species_TAXID_No_TO_sample_contig_127419","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_127419",NA,"no_species_TAXID_No_TO_sample_contig_127419"
"no_species_TAXID_No_TO_sample_contig_130059","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_130059",NA,"no_species_TAXID_No_TO_sample_contig_130059"
"no_species_TAXID_No_TO_sample_contig_131362","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_131362",NA,"no_species_TAXID_No_TO_sample_contig_131362"
"Monkeypox virus_TAXID_No_10244","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Orthopoxvirus","Monkeypox virus","10244",NA,"Monkeypox virus_TAXID_No_10244"
"no_species_TAXID_No_TO_sample_contig_132190","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_132190",NA,"no_species_TAXID_No_TO_sample_contig_132190"
"Skunavirus sv05601_TAXID_No_2029658","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Skunavirus sv05601","2029658",NA,"Skunavirus sv05601_TAXID_No_2029658"
"no_species_TAXID_No_TO_sample_contig_142813","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_142813",NA,"no_species_TAXID_No_TO_sample_contig_142813"
"unknown_species_of_Pahexavirus_TAXID_No_1982251","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Pahexavirus","unknown_species_of_Pahexavirus","1982251",NA,"unknown_species_of_Pahexavirus_TAXID_No_1982251"
"no_species_TAXID_No_TO_sample_contig_147124","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_147124",NA,"no_species_TAXID_No_TO_sample_contig_147124"
"Varicellovirus bubalinealpha1_TAXID_No_202910","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Alphaherpesvirinae","Varicellovirus","Varicellovirus bubalinealpha1","202910",NA,"Varicellovirus bubalinealpha1_TAXID_No_202910"
"no_species_TAXID_No_TO_sample_contig_148878","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_148878",NA,"no_species_TAXID_No_TO_sample_contig_148878"
"Cytomegalovirus papiinebeta3_TAXID_No_153301","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Betaherpesvirinae","Cytomegalovirus","Cytomegalovirus papiinebeta3","153301",NA,"Cytomegalovirus papiinebeta3_TAXID_No_153301"
"no_species_TAXID_No_TO_sample_contig_159205","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_159205",NA,"no_species_TAXID_No_TO_sample_contig_159205"
"no_species_TAXID_No_TO_sample_contig_159400","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_159400",NA,"no_species_TAXID_No_TO_sample_contig_159400"
"no_species_TAXID_No_TO_sample_contig_159970","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_159970",NA,"no_species_TAXID_No_TO_sample_contig_159970"
"no_species_TAXID_No_TO_sample_contig_162255","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_162255",NA,"no_species_TAXID_No_TO_sample_contig_162255"
"Ceduovirus CHPC1182_TAXID_No_2675242","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Ceduovirus CHPC1182","2675242",NA,"Ceduovirus CHPC1182_TAXID_No_2675242"
"unknown_species_of_Ceduovirus_TAXID_No_186532","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Ceduovirus","unknown_species_of_Ceduovirus","186532",NA,"unknown_species_of_Ceduovirus_TAXID_No_186532"
"Skunavirus sv3R16S_TAXID_No_1874579","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Skunavirus sv3R16S","1874579",NA,"Skunavirus sv3R16S_TAXID_No_1874579"
"no_species_TAXID_No_TO_sample_contig_175976","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_175976",NA,"no_species_TAXID_No_TO_sample_contig_175976"
"Marfavirus F48_TAXID_No_2070028","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Marfavirus","Marfavirus F48","2070028",NA,"Marfavirus F48_TAXID_No_2070028"
"no_species_TAXID_No_TO_sample_contig_177159","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_177159",NA,"no_species_TAXID_No_TO_sample_contig_177159"
"Alphapapillomavirus 9_TAXID_No_333760","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Firstpapillomavirinae","Alphapapillomavirus","Alphapapillomavirus 9","333760",NA,"Alphapapillomavirus 9_TAXID_No_333760"
"Staphylococcus phage SPbeta-like_TAXID_No_1732063","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Staphylococcus phage SPbeta-like","1732063",NA,"Staphylococcus phage SPbeta-like_TAXID_No_1732063"
"no_species_TAXID_No_TO_sample_contig_179419","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_179419",NA,"no_species_TAXID_No_TO_sample_contig_179419"
"Orthotospovirus impatiensnecromaculae_TAXID_No_11612","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","unknown_subfamily_of_Tospoviridae","Orthotospovirus","Orthotospovirus impatiensnecromaculae","11612",NA,"Orthotospovirus impatiensnecromaculae_TAXID_No_11612"
"Pandoravirus macleodensis_TAXID_No_2107707","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","unknown_class_of_Viruses","unknown_order_of_Viruses","unknown_family_of_Viruses","unknown_subfamily_of_Viruses","Pandoravirus","Pandoravirus macleodensis","2107707",NA,"Pandoravirus macleodensis_TAXID_No_2107707"
"no_species_TAXID_No_TO_sample_contig_189763","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_189763",NA,"no_species_TAXID_No_TO_sample_contig_189763"
"no_species_TAXID_No_TO_sample_contig_191338","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_191338",NA,"no_species_TAXID_No_TO_sample_contig_191338"
"no_species_TAXID_No_TO_sample_contig_194517","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_194517",NA,"no_species_TAXID_No_TO_sample_contig_194517"
"Escherichia phage Tritos_TAXID_No_2904713","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Escherichia phage Tritos","2904713",NA,"Escherichia phage Tritos_TAXID_No_2904713"
"no_species_TAXID_No_TO_sample_contig_196899","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_196899",NA,"no_species_TAXID_No_TO_sample_contig_196899"
"no_species_TAXID_No_TO_sample_contig_198412","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_198412",NA,"no_species_TAXID_No_TO_sample_contig_198412"
"Orthotospovirus polygonianuli_TAXID_No_3052582","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","unknown_subfamily_of_Tospoviridae","Orthotospovirus","Orthotospovirus polygonianuli","3052582",NA,"Orthotospovirus polygonianuli_TAXID_No_3052582"
"Stenotrophomonas phage vB_SmaS-AXL_3_TAXID_No_2740427","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","Mesyanzhinovviridae","unknown_subfamily_of_Mesyanzhinovviridae","unknown_genus_of_Mesyanzhinovviridae","Stenotrophomonas phage vB_SmaS-AXL_3","2740427",NA,"Stenotrophomonas phage vB_SmaS-AXL_3_TAXID_No_2740427"
"Abelson murine leukemia virus_TAXID_No_11788","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Abelson murine leukemia virus","11788",NA,"Abelson murine leukemia virus_TAXID_No_11788"
"no_species_TAXID_No_TO_sample_contig_206682","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_206682",NA,"no_species_TAXID_No_TO_sample_contig_206682"
"no_species_TAXID_No_TO_sample_contig_206883","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_206883",NA,"no_species_TAXID_No_TO_sample_contig_206883"
"no_species_TAXID_No_TO_sample_contig_210534","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_210534",NA,"no_species_TAXID_No_TO_sample_contig_210534"
"no_species_TAXID_No_TO_sample_contig_213302","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_213302",NA,"no_species_TAXID_No_TO_sample_contig_213302"
