"","superkingdom","clade","kingdom","phylum","class","order","family","subfamily","genus","species","taxID","length"
"TO_sample_contig_53637","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  281"
"TO_sample_contig_54701","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_54701","  342"
"TO_sample_contig_56518","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_56518","  584"
"TO_sample_contig_59591","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_59591"," 1677"
"TO_sample_contig_61451","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Alloherpesviridae","unknown_subfamily","Cyvirus","Cyvirus cyprinidallo3","180230"," 8329"
"TO_sample_contig_61891","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082","  981"
"TO_sample_contig_65206","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_65206","  847"
"TO_sample_contig_66451","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Firstpapillomavirinae","Alphapapillomavirus","Alphapapillomavirus 9","333760","  237"
"TO_sample_contig_66901","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Streptococcus phage CHPC1282","2492468","  645"
"TO_sample_contig_67991","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Firstpapillomavirinae","Gammapapillomavirus","Gammapapillomavirus 24","1478160"," 3760"
"TO_sample_contig_68650","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_68650"," 3664"
"TO_sample_contig_71204","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_71204"," 4818"
"TO_sample_contig_71508","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_71508","  312"
"TO_sample_contig_71628","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Biseptimavirus BU01","1519999"," 2795"
"TO_sample_contig_75418","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_75418","  379"
"TO_sample_contig_78304","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_78304","  274"
"TO_sample_contig_79394","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830","  512"
"TO_sample_contig_81561","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","Azeredovirinae","Dubowvirus","Staphylococcus phage vB_SauS_Mh4","2914855"," 1887"
"TO_sample_contig_84710","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","Herelleviridae","Twortvirinae","unknown_genus","Mammaliicoccus phage vB_MscM-PMS3","2861056","  517"
"TO_sample_contig_85624","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_85624","21669"
"TO_sample_contig_86064","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643"," 4873"
"TO_sample_contig_87308","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_87308"," 3922"
"TO_sample_contig_87342","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_87342"," 5581"
"TO_sample_contig_87812","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_87812","  363"
"TO_sample_contig_88084","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_88084","  282"
"TO_sample_contig_88185","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_88185"," 5748"
"TO_sample_contig_88337","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830"," 2022"
"TO_sample_contig_90118","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  244"
"TO_sample_contig_90598","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  412"
"TO_sample_contig_91200","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Betaherpesvirinae","Cytomegalovirus","Cytomegalovirus papiinebeta3","153301","  498"
"TO_sample_contig_91246","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082"," 1199"
"TO_sample_contig_92973","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082"," 1728"
"TO_sample_contig_95491","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Snyder-Theilen feline sarcoma virus","11780","  551"
"TO_sample_contig_95696","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Alpharetrovirus","Y73 sarcoma virus","11884","  870"
"TO_sample_contig_96244","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_96244"," 1460"
"TO_sample_contig_98267","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  281"
"TO_sample_contig_101780","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082","  745"
"TO_sample_contig_102704","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Gammaherpesvirinae","Percavirus","Percavirus felidgamma1","1452540","  278"
"TO_sample_contig_103495","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","unknown_subfamily","Orthotospovirus","Orthotospovirus alstroemerinecrosis","693450","  333"
"TO_sample_contig_103652","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_103652"," 6673"
"TO_sample_contig_106697","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  313"
"TO_sample_contig_107257","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_107257"," 6913"
"TO_sample_contig_107410","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_107410","  546"
"TO_sample_contig_107850","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Woolly monkey sarcoma virus","11970"," 4119"
"TO_sample_contig_109623","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Harvey murine sarcoma virus","11807","  385"
"TO_sample_contig_110620","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082","  776"
"TO_sample_contig_112556","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Skunavirus sv62605","2029669"," 6609"
"TO_sample_contig_112812","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  480"
"TO_sample_contig_113118","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Gammaherpesvirinae","unknown_genus","Eptesicus fuscus gammaherpesvirus","2035399","  478"
"TO_sample_contig_115048","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830","  269"
"TO_sample_contig_116131","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_116131","  699"
"TO_sample_contig_116196","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_116196","  307"
"TO_sample_contig_118026","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  235"
"TO_sample_contig_121382","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  407"
"TO_sample_contig_123479","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_123479","  286"
"TO_sample_contig_124909","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_124909"," 2327"
"TO_sample_contig_125443","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_125443","  519"
"TO_sample_contig_127419","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_127419","  301"
"TO_sample_contig_128557","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Pseudomonas phage phiAH14a","1805958"," 1088"
"TO_sample_contig_130059","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_130059","  498"
"TO_sample_contig_131362","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_131362","  526"
"TO_sample_contig_131952","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Orthopoxvirus","Monkeypox virus","10244","  350"
"TO_sample_contig_132190","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_132190","18203"
"TO_sample_contig_140665","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Skunavirus","Skunavirus sv05601","2029658","  967"
"TO_sample_contig_142813","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_142813","  470"
"TO_sample_contig_144954","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Pahexavirus","unknown_species","1982251","  308"
"TO_sample_contig_146986","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830","  570"
"TO_sample_contig_147124","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_147124","  281"
"TO_sample_contig_148355","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Alphaherpesvirinae","Varicellovirus","Varicellovirus bubalinealpha1","202910","  343"
"TO_sample_contig_148878","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_148878","  281"
"TO_sample_contig_150546","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Betaherpesvirinae","Cytomegalovirus","Cytomegalovirus papiinebeta3","153301"," 1284"
"TO_sample_contig_153723","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643"," 6827"
"TO_sample_contig_156707","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082","  888"
"TO_sample_contig_156763","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643"," 3628"
"TO_sample_contig_159205","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_159205"," 3164"
"TO_sample_contig_159400","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_159400","  750"
"TO_sample_contig_159827","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643"," 5074"
"TO_sample_contig_159970","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_159970"," 1293"
"TO_sample_contig_160452","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","unknown_genus","Genomoviridae sp.","2202565","  276"
"TO_sample_contig_162255","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_162255","14905"
"TO_sample_contig_162829","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","unknown_subfamily","unknown_genus","Human endogenous retrovirus","11827"," 2992"
"TO_sample_contig_162958","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643"," 1315"
"TO_sample_contig_170260","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830","  689"
"TO_sample_contig_171686","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Ceduovirus CHPC1182","2675242"," 1716"
"TO_sample_contig_172159","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Ceduovirus","unknown_species","186532","  306"
"TO_sample_contig_172643","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Skunavirus","Skunavirus sv3R16S","1874579","  716"
"TO_sample_contig_174566","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Streptococcus phage MissG2","2911161","  542"
"TO_sample_contig_175976","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_175976","  281"
"TO_sample_contig_176197","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Marfavirus","Marfavirus F48","2070028"," 7512"
"TO_sample_contig_176989","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  281"
"TO_sample_contig_177159","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_177159","  281"
"TO_sample_contig_177948","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Firstpapillomavirinae","Alphapapillomavirus","Alphapapillomavirus 9","333760","  202"
"TO_sample_contig_178336","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Staphylococcus phage SPbeta-like","1732063"," 3296"
"TO_sample_contig_179419","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_179419","  630"
"TO_sample_contig_181713","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830","  348"
"TO_sample_contig_182628","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","unknown_subfamily","Orthotospovirus","Orthotospovirus impatiensnecromaculae","11612","  304"
"TO_sample_contig_185881","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","Pandoravirus","Pandoravirus macleodensis","2107707","  466"
"TO_sample_contig_186376","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Sextaecvirus","unknown_species","1922243"," 9192"
