contigID,subjectACC,taxID,species,genus,subfamily,family,order,class,phylum,kingdom,clade,superkingdom
TO_sample_contig_160452,NC_075306.1,2202565,Genomoviridae sp.,unknown_genus,unknown_subfamily,Genomoviridae,Geplafuvirales,Repensiviricetes,Cressdnaviricota,Shotokuvirae,Monodnaviria,Viruses
TO_sample_contig_176197,NC_048694.1,2070028,Marfavirus F48,Marfavirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_182628,NC_003616.1,11612,Orthotospovirus impatiensnecromaculae,Orthotospovirus,unknown_subfamily,Tospoviridae,Bunyavirales,Ellioviricetes,Negarnaviricota,Orthornavirae,Riboviria,Viruses
TO_sample_contig_192392,NC_041831.1,2920889,Campylobacter virus IBB35,Firehammervirus,Eucampyvirinae,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_193279,NC_008962.1,265522,Ichnoviriform fugitivi,Ichnoviriform,unknown_subfamily,Polydnaviriformidae,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_202857,NC_039203.1,3052582,Orthotospovirus polygonianuli,Orthotospovirus,unknown_subfamily,Tospoviridae,Bunyavirales,Ellioviricetes,Negarnaviricota,Orthornavirae,Riboviria,Viruses
TO_sample_contig_203794,NC_071036.1,2740427,Stenotrophomonas phage vB_SmaS-AXL_3,unknown_genus,unknown_subfamily,Mesyanzhinovviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_206188,NC_001499.1,11788,Abelson murine leukemia virus,Gammaretrovirus,Orthoretrovirinae,Retroviridae,Ortervirales,Revtraviricetes,Artverviricota,Pararnavirae,Riboviria,Viruses
TO_sample_contig_234637,NC_025824.1,2847073,Inovirus M13,Inovirus,unknown_subfamily,Inoviridae,Tubulavirales,Faserviricetes,Hofneiviricota,Loebvirae,Monodnaviria,Viruses
TO_sample_contig_244388,NC_055012.1,2675240,Ceduovirus CHPC1170,Ceduovirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_263336,NC_007047.1,2908096,Phietavirus pv187,Phietavirus,Azeredovirinae,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_273836,NC_043314.1,2083300,Bracoviriform facetosae,Bracoviriform,unknown_subfamily,Polydnaviriformidae,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_283581,NC_006656.1,39640,Bracoviriform congregatae,Bracoviriform,unknown_subfamily,Polydnaviriformidae,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_287838,NC_043350.1,116759,Bracoviriform indiense,Bracoviriform,unknown_subfamily,Polydnaviriformidae,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_316778,NC_049400.1,2029661,Skunavirus sv37201,Skunavirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_353649,NC_043325.1,2083300,Bracoviriform facetosae,Bracoviriform,unknown_subfamily,Polydnaviriformidae,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_366230,NC_041854.1,1211386,Phimunavirus fM1,Phimunavirus,Corkvirinae,Autographiviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_401718,NC_038553.1,97195,Heterosigma akashiwo virus 01,Raphidovirus,unknown_subfamily,Phycodnaviridae,Algavirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Varidnaviria,Viruses
TO_sample_contig_418020,NC_008913.1,419435,Ichnoviriform fumiferanae,Ichnoviriform,unknown_subfamily,Polydnaviriformidae,unknown_order,unknown_class,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_442151,NC_075546.1,2565304,Chrysochromulina parva virus,Prymnesiovirus,unknown_subfamily,Phycodnaviridae,Algavirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Varidnaviria,Viruses
TO_sample_contig_446157,NC_001716.2,10372,Roseolovirus humanbeta7,Roseolovirus,Betaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_454845,NC_043500.1,1608125,Wumivirus millepedae,Wumivirus,unknown_subfamily,Wupedeviridae,Bunyavirales,Ellioviricetes,Negarnaviricota,Orthornavirae,Riboviria,Viruses
TO_sample_contig_462885,NC_010356.1,379529,Glossinavirus glopallidipedis,Glossinavirus,unknown_subfamily,Hytrosaviridae,Lefavirales,Naldaviricetes,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_473110,NC_077221.1,1499987,Biavirus raunefjordenense,Biavirus,unknown_subfamily,Schizomimiviridae,Imitervirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Varidnaviria,Viruses
TO_sample_contig_477021,NC_020231.1,33706,Quwivirus caviidbeta2,Quwivirus,Betaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_481376,NC_012486.1,915427,Gammapapillomavirus 8,Gammapapillomavirus,Firstpapillomavirinae,Papillomaviridae,Zurhausenvirales,Papovaviricetes,Cossaviricota,Shotokuvirae,Monodnaviria,Viruses
TO_sample_contig_507471,NC_016154.1,944969,Cytomegalovirus macacinebeta8,Cytomegalovirus,Betaherpesvirinae,Orthoherpesviridae,Herpesvirales,Herviviricetes,Peploviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_531164,NC_014767.1,880161,Micromonas sp. RCC1109 virus MpV1,Prasinovirus,unknown_subfamily,Phycodnaviridae,Algavirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Varidnaviria,Viruses
TO_sample_contig_532834,NC_034557.1,467989,Thottimvirus imjinense,Thottimvirus,Mammantavirinae,Hantaviridae,Bunyavirales,Ellioviricetes,Negarnaviricota,Orthornavirae,Riboviria,Viruses
TO_sample_contig_535333,NC_055365.1,1460451,Phlebovirus gordilense,Phlebovirus,unknown_subfamily,Phenuiviridae,Bunyavirales,Ellioviricetes,Negarnaviricota,Orthornavirae,Riboviria,Viruses
TO_sample_contig_569312,NC_015253.1,857312,Klumppvirus A9,Klumppvirus,unknown_subfamily,Herelleviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_610315,NC_073041.1,347962,Bacillus phage Gamma,Wbetavirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_648190,NC_007346.1,181082,Emiliania huxleyi virus 86,Coccolithovirus,unknown_subfamily,Phycodnaviridae,Algavirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Varidnaviria,Viruses
TO_sample_contig_678296,NC_076232.1,2486603,Alphanudivirus quartudromelanogasteris,Alphanudivirus,unknown_subfamily,Nudiviridae,Lefavirales,Naldaviricetes,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_692372,NC_011421.1,2884427,Okubovirus SPO1,Okubovirus,Spounavirinae,Herelleviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_708282,NC_035797.1,2029293,Squirrelpox virus Berlin_2015,unknown_genus,Chordopoxvirinae,Poxviridae,Chitovirales,Pokkesviricetes,Nucleocytoviricota,Bamfordvirae,Varidnaviria,Viruses
TO_sample_contig_728934,NC_071076.1,1971437,Streptococcus phage P7952,Brussowvirus,unknown_subfamily,Aliceevansviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_810959,NC_040536.1,2072209,Alphanudivirus tertidromelanogasteris,Alphanudivirus,unknown_subfamily,Nudiviridae,Lefavirales,Naldaviricetes,unknown_phylum,unknown_kingdom,unknown_clade,Viruses
TO_sample_contig_845928,NC_023503.1,1392231,Brussowvirus 20617,Brussowvirus,unknown_subfamily,Aliceevansviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_858375,NC_073672.1,2860997,Pseudomonas phage PA8,Hollowayvirus,unknown_subfamily,unknown_family,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
TO_sample_contig_874140,NC_043508.1,1587509,Alphachrysovirus perseae,Alphachrysovirus,unknown_subfamily,Chrysoviridae,Ghabrivirales,Chrymotiviricetes,Duplornaviricota,Orthornavirae,Riboviria,Viruses
TO_sample_contig_913203,NC_049342.1,2716351,Wadgaonvirus wv5004651,Wadgaonvirus,unknown_subfamily,Peduoviridae,unknown_order,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Viruses
